nama_media,jenis_media,penanggung_jawab,pemimpin_redaksi,badan_hukum,provinsi,alamat,telp,email,website,status,tanggal
wartabanjar.com,Siber,Ernawati,Ernawati,Trimedia Makmur Jaya,Kalimantan Selatan,Jl. A. Yani Km 5.5 No.458 RT 021 RW 002 Kel. Pemurus Luar Kec. Banjarmasin Timur,081293237600,wartabanjarcom@gmail.com,wartabanjar.com,Terverifikasi Administratif,2026-01-27
Radarbontang.com,Siber,Agus Susanto,Agus Susanto,Radar Media Megatama,Kalimantan Timur,"Kantor Media Bersama Jalan Gunung Kawi Perum BSD Nomor 3 Rt 39 RW 00 Kelurahan Gunung Elai Kecamatan Bontang Utara, Kota Bontang",082352365484,ptradarmediamegatama@gmail.com,https://radarbontang.com/,Terverifikasi Administratif,2026-01-27
beritakota.id,Siber,Hadits Abdillah,Hadits Abdillah,Beritakota Media Siber,DKI Jakarta,"JL. Kramat Raya No 32-34, RT 5/RW 7, Kwitang, Senen",085888428870,redaksi@beritakota.id,beritakota.id,Terverifikasi Administratif,2026-01-27
Tagarjatim.id,Siber,Hari Istiawan,Hari Istiawan,Tagar Media Bersatu,Jawa Timur,"Jalan Panglima Sudirman No. 01 RT 05 RW 04, Desa Dilem, Kepanjen, Kabupaten Malang, Jawa Timur",081362499001,tagarjatimjpm@gmail.com,www.tagarjatim.id,Terverifikasi Administratif,2026-01-27
Dhoho Tv,Televisi,Budi Sutrisno,Budi Sutrisno,Dhoho Media Televisi,Jawa Timur,"Jl. Mayjend Panjaitan No.1, RT.04/RW.03, Kelurahan Bangsal, Kecamatan Pesantren",0354693999,dhohotvkediri36@gmail.com,www.dhohotv.com,Terverifikasi Administratif,2026-01-27
jurnalpatrolinews.co.id,Siber,Achmad Rizal,Achmad Rizal,Jurnal Duta Global,Banten,"Jalan Wortel 3 Blok E4 No.13 ,Sektor 1-6 BSD Kel. Rawa Butu Kec. Serpong Kota. Tangsel",082122366636,jurnalpatroli2016@gmail.com,https://jurnalpatrolinews.co.id/,Terverifikasi Administratif dan Faktual,2025-12-23
jambi-independent.co.id,Siber,RIsza Saputra Bassar,RIsza Saputra Bassar,Pers Media Independen,Jambi,"Graha Pena Jambi Independent, Lantai 2 Jln. Jenderal Sudirman No. 100, Thehok, Kota Jambi",08224252655,independentonline01@gmail.com,https://jambiindependent.disway.id/,Terverifikasi Administratif dan Faktual,2025-12-19
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Memorandum.co.id,Siber,Eko Yudiono,Eko Yudiono,Memorandum Multimedia Sejahtera,Jawa Timur,Jl. Ketintang Baru III/91 Surabaya,0318275390,memorandumcoid@gmail.com,memorandum.co.id,Terverifikasi Administratif dan Faktual,2025-12-29
Metro Riau,Cetak,Fajar Windiarto,Fajar Windiarto,Metro Riau,Riau,"JL. Soekarno Hatta No 20-28, Kel. Labuh Baru Timur, Kec. Payung Sekaki",7865001,metroriau.redaksi@gmail.com,www.metroriau.com,Terverifikasi Administratif dan Faktual,2025-12-29
ayojakarta.com,Siber,Asep Dadan,Andres Fatubun,Ayo Media Jakarta,DKI Jakarta,"Jl. Tebet Barat Dalam I No.37B, RT.14/RW.1, Tebet Bar., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12810",08112223690,jakarta@ayomedia.com,https://www.ayojakarta.com,Terverifikasi Administratif dan Faktual,2025-12-23
Surat Kabar Dialog,Cetak,James Tobing,James Tobing,Arah Medialog Pembangunan,DKI Jakarta,"Jalan Binawarga No.4 Rt 05 Rw 07 Kel. Rawajati, Kec. Pancoran Jakarta Selatan",02179193461,hariandialog@gmail.com,hariandialog.co.id,Terverifikasi Administratif dan Faktual,2025-12-23
inversi.id,Siber,Yayat Ruhiat Cipasang,Yayat Ruhiat Cipasang,Sondre Digital Indonesia,DKI Jakarta,"Jl. Pejaten Elok A1. Pejaten Barat, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510",02122760303,redaksi@inversi.id,https://inversi.id/,Terverifikasi Administratif dan Faktual,2025-12-23
Kawanua TV,Televisi,Johnny Hardjojo,Johnny Hardjojo,Suluh Mega Visi,Sulawesi Utara,"Gedung Graha Pena - Manado Post lt. 7 (rooftop), Jl. Babe Palar no 62, Wanea",082131312012,kawanuatv.mdc@gmail.com,https://www.kawanua.tv/,Terverifikasi Administratif dan Faktual,2025-12-23
hariandialog.co.id,Siber,James Tobing,James Tobing,Arah Medialog Pembangunan,DKI Jakarta,"Jalan Binawarga No.4 Rt 05 Rw 07 Kel. Rawajati, Kec. Pancoran Jakarta Selatan",02179193461,hariandialogonline@gmail.com,hariandialog.co.id,Terverifikasi Administratif dan Faktual,2025-12-23
Majalahfakta.id,Siber,Yousri Nur Raja Agam,Yousri Nur Raja Agam,Fakta Kaloka Jaya,Jawa Timur,"Ruko Wisma Gemini Blok B-12 A , Jl Gembong 2-16 Rt 06 Rw 05 Kel Kapasan Kec simokerto Surabaya, Jawa Timur 60141",081330774400,majalahfaktaonline@gmail.com,majalahfakta.id,Terverifikasi Administratif,2025-12-23
sumutpos.jawapos.com,Siber,Asih Astuti,Asih Astuti,Medan Multimedia Korporindo,Sumatera Utara,"Jalan Sisingamangaraja km 8,5 no. 134, rt/rw 000/000, medan timbang deli, medan amplas",7877012,chairunnisasiregar12@gmail.com,sumutpos.jawapos.com,Terverifikasi Administratif,2025-12-23
fajarsumbar.com,Siber,Arizal,Arizal,Fajar Sumbar Mandiri,Sumatera Barat,"Perum Geriya Elok Blok C.1/5, Kelurahan Batuang Taba Nan XX, RT 003 RW 007, Kecamatan Lubuk Begalung, Kota Padang - Sumbar",085363374156,fajarsumbar@gmail.com,www.fajarsumbar.com,Terverifikasi Administratif dan Faktual,2025-12-19
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
halloriau.com,Siber,Budy Satria,Budy Satria,Metro Media Cemerlang,Riau,"Jl. Soekarno Hatta No. 20–28, RT.006/RW.009, Labuhbaru Timur, Payung Sekaki, Pekanbaru",081371760777,redaksi@halloriau.com,www.halloriau.com,Terverifikasi Administratif dan Faktual,2025-12-19
Suaraindonesia.co.id,Siber,Shodiq Syarif,Shodiq Syarif,Multimedia Suara Indonesia,Jawa Timur,"Perum Boemi Lembengan Permai Ruko 7-8 Kecamatan Ledokombo, Kabupaten Jember, Provinsi Jawa Timur",085330248758,suaraindonesia5758@gmail.com,www.suaraindonesia.co.id,Terverifikasi Administratif dan Faktual,2025-12-19
Koran Suara Nusantara,Cetak,M Anasrul Dwi Novriyansah,M Anasrul Dwi Novriyansah,Agung Harta Nusantara,Sumatera Selatan,Jalan Cut Nyak Dien No. 2190 B RT. 39 RW. 13 Kelurahan 30 Ilir Kecamatan Ilir Barat II,081274615532,suaranusantara2009@gmail.com,www.koransn.com,Terverifikasi Administratif dan Faktual,2025-12-19
habari.id,Siber,Moh. Syakir Alting,Andi Jamaluddin A.M. Pannyame,Elda Newsera Gorontalo,Gorontalo,"Jl. Manado No. 32A, RT 001, RW 002, Kelurahan Liluwo, Kecamatan Kota Tengah, Kota Gorontalo, Provinsi Gorontalo",082293389336,fadli.poli@gmail.com,https://habari.id/,Terverifikasi Administratif dan Faktual,2025-12-19
indopolitika.com,Siber,Samsudin,Samsudin,Indopolitika Media Independen,Banten,"Ruko Golden Road ITC BSD, Jl. Pahlawan Seribu Blok C28/35, Lengkong Gudang, Kec. Serpong, Kota Tangerang Selatan, Prov. Banten",02153152699,redaksi@indopolitika.com,www.indopolitika.com,Terverifikasi Administratif dan Faktual,2025-12-19
realitasonline.id,Siber,Agus Saparudin Lubis,Agus Saparudin Lubis,Media Realitas Siber,Sumatera Utara,Jl. Teratai No. 26 Medan,081269864467,realitasmailbox@gmail.com,https://realitasonline.id/,Terverifikasi Administratif dan Faktual,2025-12-19
Harian Pagi Linggau Pos,Cetak,Sulis,Sulis,Wahana Semesta Linggau,Sumatera Selatan,"Jl Yos Sudarso, No. 04, RT 01, Kelurahan Watervang, Kecamatan Lubuklinggau Timur I",081279403666,redaksilipos@gmail.com,https://linggaupos.bacakoran.co/,Terverifikasi Administratif dan Faktual,2025-12-19
radarmojokerto.jawapos.com,Siber,Anggi Fridianto,Anggi Fridianto,Mojokerto Intermedia Pers,Jawa Timur,Jl. R A Basuni No 96 RT 001 RW 002 Desa Jampirogo Kecamatan Sooko Kabupaten Mojokerto 61361,0321322444,radar_mojokerto@yahoo.com,https://radarmojokerto.jawapos.com/,Terverifikasi Administratif dan Faktual,2025-12-19
hantaran.co,Siber,Rakhmatul Akbar,Rakhmatul Akbar,Hantaran Media Kreatif,Sumatera Barat,"Komplek Lanud Sutan Sjahrir (ex Bandara Tabing, Parupuk Tabing, Kec. Koto Tangah, Kota Padang, Sumatera Barat",081276877440,hantarandotco@gmail.com,www.hantaran.co,Terverifikasi Administratif,2025-12-19
nusantara1.id,Siber,Fadli Poli,Fadli Poli,Artsas Indonesia Dyini Negry,Gorontalo,"Jalan Ahmad Arbie, RT 002, RW 004, Kelurahan Molosipat U, Kecamatan Sipatana, Kota Gorontalo",081356067278,nusantara1.official@gmail.com,https://nusantara1.id/,Terverifikasi Administratif dan Faktual,2025-12-19
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
radarbogor.jawapos.com,Siber,Lucky Lukman Nul Hakim,Lucky Lukman Nul Hakim,Bogor Ekspres Media,Jawa Barat,"Jl. KHR Abdullah Bin Nuh No. 30, Rt002/03, Taman Yasmin, Curug Mekar, Bogor Barat",7544001,bogorekspresmedia@gmail.com,https://radarbogor.jawapos.com/,Terverifikasi Administratif dan Faktual,2025-12-19
garda45.com,Siber,Emos Gea,Emos Gea,Garda Empat Lima Pers,Riau,"Jl. Sentosa Perumahan Alifa, Blok R. No.08, RT 001, RW 021, Kel. Sudimulyo Barat, Kec. Tuah Madani",082283579773,pt.gardaempatlimapers@gmail.com,https://garda45.com/,Terverifikasi Administratif,2025-12-19
infobenua.com,Siber,Muhammad Khaidir,Muhammad Khaidir,Eka Mandiri Group Sejahtera,Kalimantan Timur,"Jl Emboen Suryana, Perum Lestari Indah 1. No 65, Rt 029, Sambutan",081347859878,infobenua22@gmail.com,infobenua.com,Terverifikasi Administratif,2025-12-19
koranmandala.com,Siber,Fahmi Hidayat,Fahmi Hidayat,Mandala Digital Media,Jawa Barat,"Jalan Waluh No 12 RT.002 / RW.009, Kelurahan Malabar, Kecamatan Lengkong",0227300172,bisniskoranmandala@gmail.com,koranmandala.com,Terverifikasi Administratif dan Faktual,2025-12-19
Harian Umum Karawang Bekasi Ekspres,Cetak,Suhlan Pribadi,Dian Suryana,Wahana Semesta Karawang Bekasi,Jawa Barat,Jl. Tampomas 5D Desa/Kelurahan Karangpawitan Kecamatan Karawang Barat Kabupaten Karawang,02684421032,redaksikarawangbekasi@gmail.com,https://kbeonline.id/,Terverifikasi Administratif dan Faktual,2025-12-19
dimensinews.id,Siber,Endro S. Effendy,Endro S. Effendy,Royal Media Utama,Kalimantan Timur,"Jalan Gunung Panjang Gang Mulia Rt 04 no 18 A Kelurahn Gunung Panjang, Kecamatan Tanjung Redeb",085230991972,mediautamaroyal@gmail.com,https://dimensinews.id/,Terverifikasi Administratif,2025-12-19
Padang Ekspres,Cetak,Rommi Delfiano,Rommi Delfiano,Padang Intermedia Pers,Sumatera Barat,Jl. Adinegoro No. 17 A RT. 002 RW. 005 Kel. Lubuk Buaya Kec. Koto Tangah Kota Padang,081245604466,opinipadek@gmail.com,,Terverifikasi Administratif dan Faktual,2025-12-19
Batamnews.co.id,Siber,Nurjali,Nurjali,Batam Media Siber,Kepulauan Riau,"Komplek Ruko Nusantara Golden Blok A No 1, Jalan Engku Putri, RT 02 / RW 08, Kelurahan Teluk Tering, Kecamatan Batam Kota",081364687901,ceo@batamnews.co.id,www.batamnews.co.id,Terverifikasi Administratif dan Faktual,2025-12-19
aktualita.co.id,Siber,Billy Adhiyaksa,Billy Adhiyaksa,Aktualita Maju Bersama,Jawa Barat,"Perumahan Puri Nirwana 3, Jalan Anggur 3, No.6 -7 RT.003/RW.016 Kelurahan Karadenan, Kecamatan Cibinong, Kabupaten Bogor",082213381657,redaksi@aktualita.com,https://aktualita.co.id/,Terverifikasi Administratif dan Faktual,2025-12-19
tvOnenews.com,Siber,Lalu Mara Satriawangsa,Ecep Suwardani Yasa,One Media Digital,DKI Jakarta,Jl Rawa Terate II No 2 Kawasan Industri Pulogadung,02214613545,sekred.tvonenewscom@gmail.com,,Terverifikasi Administratif dan Faktual,2025-10-23
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
PanturaPost.com,Siber,Muhammad Abduh,Muhammad Abduh,Pantura Siber Media,Jawa Tengah,"Jalan Raya Talang No. 375, RT 10 RW 02, Desa Talang, Kecamatan Talang",085226777699,redaksipanturapost@gmail.com,www.panturapost.com,Terverifikasi Administratif dan Faktual,2025-12-02
Mediadayak.id,Siber,Sun Rise Sinulingga,Sun Rise Sinulingga,Media Dayak Bersama,Kalimantan Tengah,"Jl. Paus Raya No. 13 RT.006 RW.009 Kel. Bukit Tunggal, Kec. Jekan Raya",05363225156,mediadayak.online2020@gmail.com,mediadayak.id,Terverifikasi Administratif dan Faktual,2025-12-02
pojok6.id,Siber,A. Muhammad Yusuf A. Arifuddin,A. Muhammad Yusuf A. Arifuddin,Cipta Netmedia Sejahtera,Gorontalo,Jl.Farid Liputo No.27 Kel.Bugis Kec.Dumbo RayaKota Gorontalo,085240246679,pojok6gorontalo@gmail.com,pojok6.id,Terverifikasi Administratif dan Faktual,2025-12-02
Radar Tulungagung,Cetak,Didin Cahya Firmansyah,Didin Cahya Firmansyah,Tulungagung Intermedia Pers,Jawa Timur,"Jalan Panglima Sudirman 50A, RT 02, RW 03, Kelurahan Kenayan, Kecamatan Tulungagung",0355335360,radartulungagung@gmail.com,radartulungagung.jawapos.com,Terverifikasi Administratif dan Faktual,2025-12-02
Metropolitan,Cetak,M Imam SA,M Imam SA,Bogor Mediapolitan,Jawa Barat,"Jalan Raya Pajajaran, Rt002/05 No. 256 G Kelurahan Bantarjati, Kecamatan  Bogor Utara",089614501819,harianmetropiltan.redaksi@gmail.com,https://www.metropolitan.id/,Terverifikasi Administratif dan Faktual,2025-12-02
kliksumut.com,Siber,Puji Santoso,Puji Santoso,Klik Media Komunikasi,Sumatera Utara,"Jalan K.L Yos Sudarso No.65 B Glugur Kota, Medan Barat",08116561555,www.kliksumut@gmail.com,www.kliksumut.com,Terverifikasi Administratif dan Faktual,2025-12-02
kalamanthana.id,Siber,Limson Dedy,Limson Dedy,Kalamanthana Media Utama,Kalimantan Tengah,Jln. Wortel I No. 3A RT 004 RW XIV Kelurahan Panarung Kecamatan Pahandut,081349554456,redaksikalamanthana@gmail.com,www.kalamanthana.id,Terverifikasi Administratif dan Faktual,2025-12-02
goriau.com,Siber,Hermanto Ansam,Hermanto Ansam,Gema Informasi Riau Digital,Riau,"Surya Kartama Agung 4A, Jl. Kartama, Kelurahan Maharatu, Kecamatan Marpoyan Damai, Kota Pekanbaru",081275949990,goriau2012@gmail.com,GoRiau.com,Terverifikasi Administratif dan Faktual,2025-12-02
IDNTimes.com,Siber,Zulfiani Lubis,Zulfiani Lubis,Media Putra Nusantara,DKI Jakarta,"IDN HQ Lantai 3 Jl. Jenderal Gatot Subroto Kav. 27, Kuningan, Jakarta Selatan",02139713888,redaksi@idntimes.com,idntimes.com,Terverifikasi Administratif dan Faktual,2025-12-02
Durasi.co.id,Siber,Aliman Oemar,Aliman Oemar,Kuantan Media Massa,Kepulauan Riau,"Jl. Kangkung, Blok 3, No 42 RT.002 RW.011, Kelurahan Lubuk Baja Kota, Kecamatan Lubuk Baja, Kota Batam, Kepulauan Riau, Indonesia",081379098170,durasi.co.id@gmail.com,www.durasi.co.id,Terverifikasi Administratif dan Faktual,2025-12-02
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Enewskalteng.com,Siber,Andi Kadarusman,Andi Kadarusman,Semesta Jasa Multimedia,Kalimantan Tengah,Jl. Pinus Permai No.20,081322784455,enewskalteng18@gmail.com,enewskalteng.com,Terverifikasi Administratif,2025-12-02
lamanesia.com,Siber,Arwani,Arwani,Syafir Media Sejahtera,Jambi,"Jalan Kana III, No 16, RT 09, Kelurahan Cempaka Putih, Kecamatan Jelutung, Kota Jambi. Provinsi Jambi.",085208006563,redaksilamanesia@gmail.com,,Terverifikasi Administratif,2025-12-02
Rujakpolitik.com,Siber,Dede Ariwibowo,Dede Ariwibowo,Kio Sembilan Lima,DKI Jakarta,"Jl. Tebet Timur III No.11 2, RT.2/RW.7, Tebet Tim., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820",088213515945,redaksi@rujakpolitik.com,www.rujakpolitik.com,Terverifikasi Administratif dan Faktual,2025-11-13
metro-online.co,Siber,David Swayana,David Swayana,Metro Darma Raharja,Sumatera Utara,"Jalan KL Yos Sudraso KM 7,2 No 35-E/Lantai 2, Kel Tanjung Mulia Hilir, Kec Medan Deli",08116559111,redaksimol@gmail.com,www.metro-online.co,Terverifikasi Administratif dan Faktual,2025-11-20
JPNN.com,Siber,Antoni,Antoni,Jaringan Pemberitaan Nusantara Negeriku,DKI Jakarta,"Gedung Graha Pena Jawa Pos Lt 11, Jl. Raya Kebayoran Lama No.12, Kel. Grogol Utara, Kecamatan Kebayoran Lama",02153699607,online@jpnn.com,www.jpnn.com,Terverifikasi Administratif dan Faktual,2025-11-20
Persada Ekspres,Cetak,Icuk M Sakir,Icuk M Sakir,Graha Imarah Persada,Sumatera Selatan,"Jalan Cempaka Dalam No. 1649 Rt. 012 Rw. 004 Kelurahan /Desa 26 Ilir Kecamatan Bukit Kecil Kota Palembang (30135), Prov. Sumatera Selatan",082282390571,persadaekspres@gmail.com,www.persadaekspres.com,Terverifikasi Administratif dan Faktual,2025-11-20
rakyatterkini.com,Siber,Amril Jambak,Amril Jambak,Rakyatterkini Media Perdana,Sumatera Barat,"Perum Palam Raya Blok C/1 Kampung Lalang, RT.003-RW.006, Kelurahan Pasang Ambacang, Kecamatan Kuranji, Kota Padang, Sumatera Barat",081275870558,rakyaterkini@gmail.com,www.rakyatterkini.com,Terverifikasi Administratif dan Faktual,2025-11-20
Probatam.co,Siber,Jhony Prasetya,Jhony Prasetya,Batam Media Kreatif,Kepulauan Riau,"Ruko Greenland Blok L No 12A RT/RW 005/002 KelurahanTeluk Tering, Kecamatan Batam Kota, Provinsi Kepulauan Riau",081288800688,probatam.co@gmail.com,www.probatam.co,Terverifikasi Administratif dan Faktual,2025-11-20
ayosemarang.com,Siber,Arri Widiarto,Adib Auliawan Herlambang,Ayo Media Semarang,Jawa Tengah,"Jalan Erlangga Tengah VII No. 17, Pleburan, Kecamatan Semarang Selatan, Kota Semarang, Jawa Tengah 50241",02476585185,semarang@ayomedia.com,https://www.ayosemarang.com/,Terverifikasi Administratif dan Faktual,2025-11-20
tempo.co,Siber,Setri Yasra,Setri Yasra,Info Media Digital,DKI Jakarta,Jl. Palmerah Barat No 8,0215360409,redaksi@tempo.co.id,tempo.co,Terverifikasi Administratif dan Faktual,2025-11-20
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
Palangka post,Cetak,M. Haris Sadikin,M. Haris Sadikin,Media palangka pambelum,Kalimantan Tengah,"Jl. G. Obos No. 30 Kav 1-2, Kel. Menteng, Kec. Jekan Raya, Kota Palangka Raya, Provinsi Kalimantan Tengah",05363224460,redaksippost@yahoo.com,-,Terverifikasi Administratif dan Faktual,2025-11-20
borneonews.co.id,Siber,Pariyanto Marman,Pariyanto Marman,Media kalimantan mandiri,Kalimantan Tengah,"Jl. Pangeran Antasari No. 40, RT. 013, RW. 005, Kelurahan Mendawai, Kecamatan Arut Selatan, Kabupaten Kotawaringin Barat, Kota Pangkalan Bun, Provinsi Kalimantan Tengah",053228817,redaksi@borneonews.co.id,https://www.borneonews.co.id/,Terverifikasi Administratif dan Faktual,2025-11-20
bgnnews.co.id,Siber,Junaidi,Junaidi,Bertuah garda pers,Riau,"Jalan Singgalang Nomor 42 C, RT 02 RW 03 Kel. Tangkerang Timur, Kecamatan Tenayan Raya, Kota Pekanbaru, Riau",081213339037,bertuahgardapers25@gmail.com,,Terverifikasi Administratif,2025-11-20
smnnews.co.id,Siber,Kundari Pri Susanti,Kundari Pri Susanti,Media Digital Nasional Jaya,Jawa Timur,"Perumahan Kwadungan Permai, Blok E, No. 25, Desa Sambirejo, Kecamatan Gampengrejo, Kabupaten Kediri",085855622753,smnnews19@gmail.com,smnnews.co.id,Terverifikasi Administratif dan Faktual,2025-11-20
Bogorupdate.com,Siber,Syarif Hidayatullah,Syarif Hidayatullah,Zona Mediatama Faktual,Jawa Barat,"Ruko sabar ganda, blok A1 no 3, Tengah, Kecamatan Cibinong",08111133086,bogorupdate999@gmail.com,bogorupdate.com,Terverifikasi Administratif dan Faktual,2025-11-13
Gebraknews.co.id,Siber,Ramayulis Piliang,Ramayulis Piliang,Gebrak Media Indonesia,Kepulauan Riau,"Bengkong Abadi 2, Jalan Rajawali, Gang Mawar 1, Blok B no 17, Bengkong, Batam, Kepulauan Riau",081270240663,mediagebrak@gmail.com,Gebraknews.co.id,Terverifikasi Administratif dan Faktual,2025-11-13
popularitas.com,Siber,Daspriani,Daspriani,Popularitas Indo Media,Aceh,"Jl Sultan Alaidin Johansyah No.36, Neusu Aceh, Kec. Baiturrahman",081269296357,redaksi.popularitas@gmail.com,www.popularitas.com,Terverifikasi Administratif dan Faktual,2025-11-13
dialeksis.com,Siber,Bahtiar Gayo,Bahtiar Gayo,Dialeksis Media Jaya,Aceh,Jalan Tgk Dihaji Lorong Ujong Blang No 36 Desa Lamdingin Kecamatan Kuta Alam Banda Aceh Provinsi Aceh,06516303146,media.dialeksis@gmail.com,http://dialeksis.com,Terverifikasi Administratif dan Faktual,2025-11-13
kupasonline.com,Siber,Sri Agustini,Sri Agustini,Cahaya Ikhwan Multimedia,Sumatera Barat,"Jln. Bukit Napa No. 3 RT 01, RW 02, Kelurahan Kuranji, Kecamatan Kuranji, Kota Padang, Sumatera Barat (Sumbar)",085256316001,kupasonline1@gmail.com,www.kupasonline.com,Terverifikasi Administratif dan Faktual,2025-11-13
infojambi.com,Siber,Izwan Sholimin,Izwan Sholimin,Info Jambi Media,Jambi,"Jl. Ir. H. Djuanda No.24 Kelurahan Simpang Tiga Sipin, Kecamatan Kota Baru, Kota Jambi",085266677431,infojambimedia@gmail.com,INFOJAMBI.COM,Terverifikasi Administratif dan Faktual,2025-11-13
,"Cetak
Radio
Televisi
Siber",,,,,,,,,,
GPriority,Cetak,Yudi Sinaga,Yudi Sinaga,Gemilang Larasati Nusantara,DKI Jakarta,"Jalan Howitzer Raya no.46 RT.10/02 Sumur Batu, kemayoran, Jakarta Pusat 10640",02121476868,info@gpriority.co.id,www.gpriority.co.id,Terverifikasi Administratif dan Faktual,2025-11-13
Media Satya Negeri Laskar Pelangi,Cetak,Respisius Leba,Respisius Leba,Cakrawala Babel Media,Kepulauan Bangka Belitung,Jl. Rasakunda No.25 Kelurahan. Bukit Besar Kec. Girimaya . RT 003 dan RW 001,0717423777,negerilaskarpelangimedia@gmail.com,www.negerilaskarpelangi.com,Terverifikasi Administratif dan Faktual,2025-11-13
Ewarta.co,Siber,Alwin Feraro,Alwin Feraro,Media Akurasi Ewarta Jaya,Bengkulu,"Jalan Merawan 7 Blok A No. 19 A, RT. 027/RW. 006, Kelurahan Sawah Lebar, Kecamatan Ratu Agung",085366947777,ewarta2020@gmail.com,www.ewarta.co,Terverifikasi Administratif dan Faktual,2025-11-13
liputankini.com,Siber,Gusnaldi Saman,Gusnaldi Saman,Liputan Kini Mediatama,Sumatera Barat,"Jalan Situjuh II No. 8, RT 003/ RW OO4, Jati Baru, Padang Timur",08126731984,liputankinimediatama@gmail.com,https://www.liputankini.com/,Terverifikasi Administratif dan Faktual,2023-03-30
swarapendidikan.co.id,Siber,Indra Wahyu Saputro,Indra Wahyu Saputro,Media Swara Pendidikan,Jawa Barat,Jalan Gelatik 11 No. 110 RT 004 RW 12 Kelurahan Depok Jaya Kecamatan Pancoran Mas,02189080947,redaksiswarapendidikan@gmail.com,swarapendidikan.co.id,Terverifikasi Administratif dan Faktual,2025-11-13
riau24.com,Siber,Chairul Hadi,Chairul Hadi,Citra Media Esa,Riau,"Perkantoran Grand Sudirman Blok D 18, Jl. Datuk Setia Maharaja, Kel. Tangkerang Selatan, Kec. Bukit Raya",081266280882,redaksi.riau24@gmail.com,https://www.riau24.com/,Terverifikasi Administratif dan Faktual,2025-11-13
Jamberita.com,Siber,Ahmad Riki Sufrian,Ahmad Riki Sufrian,Insan Media Bersaudara,Jambi,"Jln. Kali Batas, RT 13 Desa Pematang Gajah Perumahan Metro Jambi Recidence Blok C1",085380038273,jamberita17@gmail.com,,Terverifikasi Administratif dan Faktual,2025-11-13
Batamclick.com,Siber,Dedy Suwadha,Dedy Suwadha,Batam Click One,Kepulauan Riau,"Komplek Ruko Nasa Sentosa  Blok D Nomor 2, RT 02, RW 19, Kelurahan Belian, Kecamatan Batam Kota",081363649304,batamclick@gmail.com,batamclick.com,Terverifikasi Administratif dan Faktual,2025-11-13
